personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Katharine Rayner,5200,8000,False,77,Media & Entertainment,United States,F
Carlos Rodriguez-Pastor,5200,3000,False,62,Finance & Investments,Peru,M
Margaretta Taylor,5200,8000,False,79,Media & Entertainment,United States,F
You Xiaoping,5200,1000,True,64,Manufacturing,China,M
Robert Bass,5100,4000,False,74,Energy,United States,M
Jeff Greene,5100,3000,True,67,Real Estate,United States,M
Montri Jiaravanont,5100,4000,False,91,Diversified,Thailand,M
Elizabeth Johnson,5100,3000,False,58,Finance & Investments,United States,F
Hiroshi Mikitani,5100,5000,True,57,Fashion & Retail,Japan,M
Isaac Perlmutter,5100,4000,True,79,Media & Entertainment,United States,M
Michael Pieper,5100,4000,True,76,Manufacturing,Switzerland,M
Tsai Hong-tu,5100,2000,False,69,Finance & Investments,Taiwan,M
Richard Tsai,5100,3000,False,64,Finance & Investments,Taiwan,M
Shari Arison,5000,5000,False,64,Service,Israel,F
Alain Bouchard,5000,3000,True,73,Fashion & Retail,Canada,M
"Austen Cargill, II.",5000,4000,False,71,Food & Beverage,United States,M
"James Cargill, II.",5000,4000,False,72,Food & Beverage,United States,M
Leonid Fedun,5000,6000,True,66,Energy,Russia,M
Johann Graf,5000,8000,True,75,Gambling & Casinos,Austria,M
Huang Chulong,5000,1000,True,63,Real Estate,China,M
Huang Yi,5000,2000,True,60,Automotive,China,M
Vladimir Kim,5000,3000,True,61,Metals & Mining,Kazakhstan,M
Ronald Lauder,5000,4000,False,78,Fashion & Retail,United States,M
Marianne Liebmann,5000,4000,False,68,Food & Beverage,United States,F
Tobi Lutke,5000,1000,True,41,Technology,Canada,M
Thomas Pritzker,5000,4000,False,71,Finance & Investments,United States,M
Peter Thiel,5000,2000,True,54,Finance & Investments,United States,M
Hansjoerg Wyss,5000,5000,True,87,Healthcare,United States,M
Zhang Tao,5000,1000,True,49,Fashion & Retail,China,M
Daniel Ziff,5000,4000,False,50,Finance & Investments,United States,M
Dirk Ziff,5000,4000,False,58,Finance & Investments,United States,M
Robert Ziff,5000,4000,False,55,Finance & Investments,United States,M
"Robert Rich, Jr.",4900,5000,False,81,Food & Beverage,United States,M
Thomas Schmidheiny,4900,5000,False,76,Construction & Engineering,Switzerland,M
Erik Selin,4900,1000,True,54,Real Estate,Sweden,M
Daniel Tsai,4900,3000,False,65,Finance & Investments,Taiwan,M
Dona Bertarelli,4800,4000,False,54,Healthcare,Switzerland,F
Hu Baifan,4800,2000,True,59,Healthcare,China,M
Bidzina Ivanishvili,4800,4000,True,66,Finance & Investments,Georgia,M
Theo Mueller,4800,4000,False,82,Food & Beverage,Switzerland,M
"Julian Robertson, Jr.",4800,4000,True,89,Finance & Investments,United States,M
Marc Rowan,4800,3000,True,59,Finance & Investments,United States,M
Frank Wang,4800,3000,True,41,Technology,China,M
Yang Shaopeng,4800,1000,True,64,Logistics,China,M
Leonid Boguslavsky,4700,1000,True,70,Finance & Investments,Italy,M
Richard Branson,4700,5000,True,71,Diversified,British Virgin Islands,M
Pierre Chen,4700,2000,True,65,Technology,Taiwan,M
Scott Cook,4700,3000,True,69,Technology,United States,M
Mark Cuban,4700,3000,True,63,Media & Entertainment,United States,M
Martin Haefner,4700,3000,False,68,Technology,Switzerland,M
